Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 2/Departamento_2""))",Chrome 94.0.4606.81,,,2021-10-18 16:35:22,2021-10-18 16:35:22,"0,459s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 2/input_Ingresos""), ""12000"")",Chrome 94.0.4606.81,,,2021-10-18 16:35:22,2021-10-18 16:35:23,"0,877s",PASSED
"selectOptionByValue(findTestObject(""CreditoUruguayo/Flujo 2/select_Genero""), ""Male"", false)",Chrome 94.0.4606.81,,,2021-10-18 16:35:23,2021-10-18 16:35:24,"0,648s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 2/button_Continuar-2""))",Chrome 94.0.4606.81,,,2021-10-18 16:35:24,2021-10-18 16:35:24,"0,504s",PASSED
"if (verifyElementPresent(findTestObject(""CreditoUruguayo/Flujo 3/div_SinOferta""), 0, OPTIONAL))",Chrome 94.0.4606.81,,,2021-10-18 16:35:24,2021-10-18 16:35:48,"23,448s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 3/select_FechaVencimiento""), 0)",Chrome 94.0.4606.81,,,2021-10-18 16:35:48,2021-10-18 16:35:55,"7,118s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/select_FechaVencimiento""))",Chrome 94.0.4606.81,,,2021-10-18 16:35:55,2021-10-18 16:35:55,"0,353s",PASSED
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 3/select_FechaVencimiento""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 94.0.4606.81,,,2021-10-18 16:35:55,2021-10-18 16:35:55,"0,391s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""), 0)",Chrome 94.0.4606.81,,,2021-10-18 16:35:55,2021-10-18 16:36:03,"7,442s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:03,2021-10-18 16:36:03,"0,360s",PASSED
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 94.0.4606.81,,,2021-10-18 16:36:03,2021-10-18 16:36:04,"0,366s",PASSED
"selectOptionByLabel(findTestObject(""CreditoUruguayo/Flujo 3/select_Banco""), ""Itaú"", false)",Chrome 94.0.4606.81,,,2021-10-18 16:36:04,2021-10-18 16:36:04,"0,607s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 3/input_CuentaBancaria""), findTestData(""DatosUsuario"").getValue(2, 10))",Chrome 94.0.4606.81,,,2021-10-18 16:36:04,2021-10-18 16:36:05,"0,673s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/button_Continuar-3""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:05,2021-10-18 16:36:05,"0,490s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 4/a_ConfirmarCredito""), 0)",Chrome 94.0.4606.81,,,2021-10-18 16:36:05,2021-10-18 16:36:07,"1,151s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 4/a_ConfirmarCredito""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:07,2021-10-18 16:36:07,"0,355s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 5/input_Direccion""), 0)",Chrome 94.0.4606.81,,,2021-10-18 16:36:07,2021-10-18 16:36:08,"1,141s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_Direccion""), findTestData(""DatosUsuario"").getValue(2, 9))",Chrome 94.0.4606.81,,,2021-10-18 16:36:08,2021-10-18 16:36:09,"1,000s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/button_CrearContrasena""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:09,2021-10-18 16:36:09,"0,376s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_Contrasena""), findTestData(""DatosUsuario"").getValue(2, 11))",Chrome 94.0.4606.81,,,2021-10-18 16:36:09,2021-10-18 16:36:10,"0,794s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_ConfirmarContrasena""), findTestData(""DatosUsuario"").getValue(2, 11))",Chrome 94.0.4606.81,,,2021-10-18 16:36:10,2021-10-18 16:36:11,"0,799s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/input_TyC-2""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:11,2021-10-18 16:36:12,"0,564s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/button_Continuar-4""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:12,2021-10-18 16:36:12,"0,581s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 6/button_QuieroQueMeLlamen""), 0)",Chrome 94.0.4606.81,,,2021-10-18 16:36:12,2021-10-18 16:36:17,"5,146s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 6/button_QuieroQueMeLlamen""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:17,2021-10-18 16:36:18,"0,367s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 7/a_Finalizar""), 0)",Chrome 94.0.4606.81,,,2021-10-18 16:36:18,2021-10-18 16:36:18,"0,585s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 7/a_Finalizar""))",Chrome 94.0.4606.81,,,2021-10-18 16:36:18,2021-10-18 16:36:19,"0,968s",PASSED
