Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 2/Departamento_2""))",Chrome 94.0.4606.81,,,2021-10-18 12:06:57,2021-10-18 12:06:57,"0,482s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 2/input_Ingresos""), ""12000"")",Chrome 94.0.4606.81,,,2021-10-18 12:06:57,2021-10-18 12:06:58,"0,880s",PASSED
"selectOptionByValue(findTestObject(""CreditoUruguayo/Flujo 2/select_Genero""), ""Male"", false)",Chrome 94.0.4606.81,,,2021-10-18 12:06:58,2021-10-18 12:06:59,"0,666s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 2/button_Continuar-2""))",Chrome 94.0.4606.81,,,2021-10-18 12:06:59,2021-10-18 12:06:59,"0,500s",PASSED
"if (verifyElementPresent(findTestObject(""CreditoUruguayo/Flujo 3/div_SinOferta""), 0, OPTIONAL))",Chrome 94.0.4606.81,,,2021-10-18 12:06:59,2021-10-18 12:07:37,"38,219s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 3/select_FechaVencimiento""), 0)",Chrome 94.0.4606.81,,,2021-10-18 12:07:37,2021-10-18 12:07:38,"0,316s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/select_FechaVencimiento""))",Chrome 94.0.4606.81,,,2021-10-18 12:07:38,2021-10-18 12:07:38,"0,375s",PASSED
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 3/select_FechaVencimiento""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 94.0.4606.81,,,2021-10-18 12:07:38,2021-10-18 12:07:39,"0,395s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""), 0)",Chrome 94.0.4606.81,,,2021-10-18 12:07:39,2021-10-18 12:07:51,"12,906s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""))",Chrome 94.0.4606.81,,,2021-10-18 12:07:51,2021-10-18 12:07:52,"0,360s",PASSED
"sendKeys(findTestObject(""CreditoUruguayo/Flujo 3/select_Cuotas""), Keys.chord(ARROW_DOWN, ENTER))",Chrome 94.0.4606.81,,,2021-10-18 12:07:52,2021-10-18 12:07:52,"0,370s",PASSED
"selectOptionByLabel(findTestObject(""CreditoUruguayo/Flujo 3/select_Banco""), ""Itaú"", false)",Chrome 94.0.4606.81,,,2021-10-18 12:07:52,2021-10-18 12:07:53,"0,602s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 3/input_CuentaBancaria""), cuentaBancaria)",Chrome 94.0.4606.81,,,2021-10-18 12:07:53,2021-10-18 12:07:53,"0,676s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 3/button_Continuar-3""))",Chrome 94.0.4606.81,,,2021-10-18 12:07:53,2021-10-18 12:07:54,"0,503s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 4/a_ConfirmarCredito""), 0)",Chrome 94.0.4606.81,,,2021-10-18 12:07:54,2021-10-18 12:07:55,"1,325s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 4/a_ConfirmarCredito""))",Chrome 94.0.4606.81,,,2021-10-18 12:07:55,2021-10-18 12:07:56,"0,371s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 5/input_Direccion""), 0)",Chrome 94.0.4606.81,,,2021-10-18 12:07:56,2021-10-18 12:07:57,"1,471s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_Direccion""), direccion)",Chrome 94.0.4606.81,,,2021-10-18 12:07:57,2021-10-18 12:08:05,"7,645s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/button_CrearContrasena""))",Chrome 94.0.4606.81,,,2021-10-18 12:08:05,2021-10-18 12:08:05,"0,386s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_Contrasena""), contrasena)",Chrome 94.0.4606.81,,,2021-10-18 12:08:05,2021-10-18 12:08:06,"0,799s",PASSED
"setText(findTestObject(""CreditoUruguayo/Flujo 5/input_ConfirmarContrasena""), contrasena)",Chrome 94.0.4606.81,,,2021-10-18 12:08:06,2021-10-18 12:08:07,"0,893s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/input_TyC-2""))",Chrome 94.0.4606.81,,,2021-10-18 12:08:07,2021-10-18 12:08:07,"0,475s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 5/button_Continuar-4""))",Chrome 94.0.4606.81,,,2021-10-18 12:08:07,2021-10-18 12:08:08,"0,584s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 6/button_QuieroQueMeLlamen""), 0)",Chrome 94.0.4606.81,,,2021-10-18 12:08:08,2021-10-18 12:08:14,"6,149s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 6/button_QuieroQueMeLlamen""))",Chrome 94.0.4606.81,,,2021-10-18 12:08:14,2021-10-18 12:08:22,"7,534s",PASSED
"waitForElementPresent(findTestObject(""CreditoUruguayo/Flujo 7/a_Finalizar""), 0)",Chrome 94.0.4606.81,,,2021-10-18 12:08:22,2021-10-18 12:08:23,"1,024s",PASSED
"enhancedClick(findTestObject(""CreditoUruguayo/Flujo 7/a_Finalizar""))",Chrome 94.0.4606.81,,,2021-10-18 12:08:23,2021-10-18 12:08:23,"0,855s",PASSED
