Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CreditoUruguayo,Chrome 94.0.4606.81,,,2021-10-18 17:35:49,2021-10-18 17:37:21,"1m - 31,875s",PASSED
,,,,,,,
Test Cases/0_Generales/Generar cedula random,Chrome 94.0.4606.81,,,2021-10-18 17:35:50,2021-10-18 17:35:54,"4,146s",PASSED
"openBrowser(""https://picandocodigo.github.io/ci_js/"")",Chrome 94.0.4606.81,,,2021-10-18 17:35:50,2021-10-18 17:35:53,"2,588s",PASSED
maximizeWindow(),Chrome 94.0.4606.81,,,2021-10-18 17:35:53,2021-10-18 17:35:53,"0,172s",PASSED
"click(findTestObject(""Generador de cedulas/botonGenerar""))",Chrome 94.0.4606.81,,,2021-10-18 17:35:53,2021-10-18 17:35:53,"0,470s",PASSED
"cedulaRandom = getAttribute(findTestObject(""Generador de cedulas/obtenerCedulaRandom""), ""value"")",Chrome 94.0.4606.81,,,2021-10-18 17:35:53,2021-10-18 17:35:54,"0,606s",PASSED
,,,,,,,
Test Cases/CreditoUruguayo/CreditoUruguayo,Chrome 94.0.4606.81,,,2021-10-18 17:35:54,2021-10-18 17:37:21,"1m - 27,445s",PASSED
currentPage = getUrl(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:35:54,2021-10-18 17:35:54,"0,023s",PASSED
currentTab = getWindowIndex(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:35:54,2021-10-18 17:35:54,"0,019s",PASSED
driver = getWebDriver(),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:35:54,2021-10-18 17:35:54,"0,009s",PASSED
js = driver,Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:35:54,2021-10-18 17:35:54,"0,018s",PASSED
"js.executeScript(""window.open();"")",Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:35:54,2021-10-18 17:35:55,"0,035s",PASSED
switchToWindowIndex(currentTab + 1),Chrome 94.0.4606.81,Javascript para abrir nueva pestaña,,2021-10-18 17:35:55,2021-10-18 17:35:55,"0,040s",PASSED
navigateToUrl(CreditoUruguayo),Chrome 94.0.4606.81,,,2021-10-18 17:35:55,2021-10-18 17:35:58,"3,723s",PASSED
